,coef,std err,z,P>|z|,[0.025,0.975],pvalue_raw,features,iter,allele,HLA_typing,pval_Holm,nlog10_Pval
66,0.4886,0.226,2.162,0.031,0.046,0.931,0.030596272872840086,Negative,67,DPA1*02:02,HLA-HD,1.0,-0.0
67,0.1794,0.223,0.805,0.421,-0.258,0.617,0.42103694006127035,Negative,68,DPA1*02:02,HLA-HD,1.0,-0.0
68,0.5343,0.232,2.305,0.021,0.08,0.989,0.021175261522659822,Negative,69,DPA1*02:02,HLA-HD,1.0,-0.0
69,0.4708,0.235,2.005,0.045,0.01,0.931,0.04499878659365332,Negative,70,DPA1*02:02,HLA-HD,1.0,-0.0
70,0.5786,0.232,2.493,0.013,0.124,1.033,0.012661301115473568,Negative,71,DPA1*02:02,HLA-HD,1.0,-0.0
71,0.6543,0.234,2.795,0.005,0.195,1.113,0.005194120304573293,Negative,72,DPA1*02:02,HLA-HD,1.0,-0.0
72,0.2792,0.23,1.211,0.226,-0.173,0.731,0.22570428725201863,Negative,73,DPA1*02:02,HLA-HD,1.0,-0.0
73,0.2289,0.221,1.037,0.3,-0.204,0.661,0.2995541126551575,Negative,74,DPA1*02:02,HLA-HD,1.0,-0.0
74,0.6161,0.227,2.71,0.007,0.171,1.062,0.006726976703504644,Negative,75,DPA1*02:02,HLA-HD,1.0,-0.0
75,0.1471,0.232,0.635,0.525,-0.307,0.601,0.525459241303172,Negative,76,DPA1*02:02,HLA-HD,1.0,-0.0
76,0.3473,0.232,1.497,0.134,-0.107,0.802,0.13445499067224934,Negative,77,DPA1*02:02,HLA-HD,1.0,-0.0
77,0.4969,0.227,2.19,0.029,0.052,0.942,0.028506752715341928,Negative,78,DPA1*02:02,HLA-HD,1.0,-0.0
78,0.4392,0.239,1.838,0.066,-0.029,0.908,0.0660485229495578,Negative,79,DPA1*02:02,HLA-HD,1.0,-0.0
79,0.1985,0.24,0.828,0.408,-0.271,0.668,0.4075810229021245,Negative,80,DPA1*02:02,HLA-HD,1.0,-0.0
80,0.3386,0.23,1.469,0.142,-0.113,0.79,0.1417259082463952,Negative,81,DPA1*02:02,HLA-HD,1.0,-0.0
81,0.657,0.246,2.669,0.008,0.174,1.14,0.007615200057121178,Negative,82,DPA1*02:02,HLA-HD,1.0,-0.0
82,0.5714,0.248,2.308,0.021,0.086,1.057,0.021019243313086168,Negative,83,DPA1*02:02,HLA-HD,1.0,-0.0
83,0.4803,0.235,2.042,0.041,0.019,0.941,0.04110850881772576,Negative,84,DPA1*02:02,HLA-HD,1.0,-0.0
84,0.0924,0.232,0.398,0.691,-0.363,0.548,0.6907940296491917,Negative,85,DPA1*02:02,HLA-HD,1.0,-0.0
85,0.3409,0.23,1.481,0.139,-0.11,0.792,0.13866551396290824,Negative,86,DPA1*02:02,HLA-HD,1.0,-0.0
